CensusID,CensusName,MedianIncomeByPlaceofBirth,MedianIncome,TotalPopulation,AvgPopulation,Population5M,Population45M,Population4M,Population35M,Population3M
1400000US36081046800,"Census Tract 468, Queens County, New York",24846.0000,49861.0000,3162.0000,3083,1728547.0000,1496574.0000,1251196.0000,986111.0000,770164.0000
1400000US36081047600,"Census Tract 476, Queens County, New York",35226.0000,102857.0000,1594.0000,1456,1637382.0000,1406065.0000,1175453.0000,936970.0000,709751.0000
1400000US36081048500,"Census Tract 485, Queens County, New York",26957.0000,64737.0000,4369.0000,4620,2841045.0000,2258618.0000,1693429.0000,1291442.0000,991356.0000
1400000US36081049500,"Census Tract 495, Queens County, New York",36964.0000,72550.0000,1417.0000,1343,3101211.0000,2517126.0000,1994919.0000,1497640.0000,1131106.0000
1400000US36081050201,"Census Tract 502.01, Queens County, New York",30211.0000,92583.0000,1431.0000,1246,1551032.0000,1292525.0000,1098783.0000,887816.0000,731910.0000
1400000US36081051100,"Census Tract 511, Queens County, New York",41510.0000,92727.0000,2139.0000,2068,3245135.0000,2627299.0000,2032354.0000,1529681.0000,1172574.0000
1400000US36081051300,"Census Tract 513, Queens County, New York",37375.0000,75060.0000,2281.0000,2146,3148217.0000,2584950.0000,1943518.0000,1503894.0000,1094962.0000
1400000US36081052000,"Census Tract 520, Queens County, New York",24167.0000,69350.0000,1619.0000,1695,1391640.0000,1172694.0000,1009824.0000,842130.0000,663769.0000
1400000US36081052800,"Census Tract 528, Queens County, New York",26959.0000,53000.0000,1371.0000,1405,1372100.0000,1155513.0000,995681.0000,837796.0000,664943.0000
1400000US36085032300,"Census Tract 323, Richmond County, New York",38095.0000,69239.0000,1136.0000,1218,649723.0000,476125.0000,421399.0000,355585.0000,241670.0000
1400000US36087010602,"Census Tract 106.02, Rockland County, New York",24188.0000,55697.0000,6813.0000,6524,141307.0000,118445.0000,100656.0000,98410.0000,94072.0000
1400000US36087010703,"Census Tract 107.03, Rockland County, New York",25738.0000,64969.0000,4099.0000,3987,172468.0000,148578.0000,114156.0000,104245.0000,82268.0000
1400000US36087010901,"Census Tract 109.01, Rockland County, New York",48689.0000,115833.0000,4997.0000,5070,239631.0000,194910.0000,163665.0000,116209.0000,81347.0000
1400000US36087010902,"Census Tract 109.02, Rockland County, New York",41953.0000,110972.0000,3873.0000,3929,207460.0000,164001.0000,141926.0000,107167.0000,97836.0000
1400000US36119002204,"Census Tract 22.04, Westchester County, New York",36168.0000,77563.0000,5047.0000,5131,922051.0000,782286.0000,618317.0000,507692.0000,407549.0000
1400000US36119002402,"Census Tract 24.02, Westchester County, New York",50439.0000,76937.0000,3858.0000,3896,1011252.0000,859879.0000,731469.0000,563917.0000,464093.0000
1400000US36119002403,"Census Tract 24.03, Westchester County, New York",35945.0000,76765.0000,5448.0000,5386,1145745.0000,980109.0000,819941.0000,681355.0000,528588.0000
1400000US36119002600,"Census Tract 26, Westchester County, New York",34097.0000,64931.0000,3926.0000,3934,1337900.0000,1123123.0000,876036.0000,678914.0000,529594.0000
1400000US36119002900,"Census Tract 29, Westchester County, New York",24892.0000,31114.0000,3728.0000,3368,1314279.0000,1145027.0000,949761.0000,768011.0000,589420.0000
1400000US36119003000,"Census Tract 30, Westchester County, New York",28403.0000,51997.0000,3391.0000,3341,1292782.0000,1099820.0000,958258.0000,770979.0000,604985.0000
1400000US36119003200,"Census Tract 32, Westchester County, New York",26702.0000,46586.0000,2437.0000,2348,1193401.0000,995384.0000,792532.0000,650783.0000,488768.0000
1400000US36119003300,"Census Tract 33, Westchester County, New York",32301.0000,46582.0000,3171.0000,3106,1173557.0000,962081.0000,767868.0000,587182.0000,452202.0000
1400000US36103145903,"Census Tract 1459.03, Suffolk County, New York",36540.0000,94414.0000,5778.0000,5652,363239.0000,331379.0000,291510.0000,237895.0000,184964.0000
1400000US36103146103,"Census Tract 1461.03, Suffolk County, New York",35508.0000,99261.0000,4004.0000,4023,325511.0000,279380.0000,242138.0000,209427.0000,181617.0000
1400000US36103146203,"Census Tract 1462.03, Suffolk County, New York",23509.0000,55824.0000,5245.0000,5400,339521.0000,292713.0000,256848.0000,227520.0000,172454.0000
